Timestamp,gender,age_range,marital_status,education_level,employment_status,main_telecom,social_media_accounts,challenges_in_cs,best_social_media_for_cs,chatbot_acceptance,main_telecom_cs_csat,rating_of_national_cs,need_for_cs_website,need_for_cs_mobile_app,need_for_cs_live_chat,need_for_cs_video_and_screen_sharing,need_for_cs_multilingual,need_for_cs_image_sharing,need_for_cs_self_help_repos,need_for_cs_recommended_solutions,need_for_cs_ticket_status_display,need_for_cs_scheduled_support,need_for_agents_rate_and_review,need_for_cs_discussion_forums,most_important_factor_in_cs,necessity_of_cs_dedicated_platform
18/08/2022 10:40:07,Male,20 years - 35 years,Cohabiting,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Twitter,4,4,3,essential,not essential,essential,very essential,very essential,very essential,essential,very essential,very essential,very essential,essential,essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 10:47:47,Male,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",WhatsApp,1,3,3,essential,I am not sure,essential,essential,very essential,essential,not essential,not essential,essential,not essential,essential,I am not sure,Speed at which my issue is sorted.,Very necessary
18/08/2022 10:58:09,Male,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Twitter,5,3,3,very essential,very essential,very essential,essential,very essential,very essential,very essential,very essential,very essential,very essential,essential,very essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 11:00:25,Male,20 years - 35 years,Single,Undergraduate,Self employed,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",Email,1,5,2,very essential,very essential,very essential,not essential,very essential,not essential,very essential,very essential,very essential,not essential,not essential,not essential,How easy it is for me to have my issue sorted.,Very necessary
18/08/2022 11:00:55,Female,20 years - 35 years,Single,Secondary school,Student,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",WhatsApp,5,4,3,not essential,not essential,very essential,very essential,very essential,not essential,very essential,very essential,very essential,very essential,very essential,very essential,Speed at which my issue is sorted.,Not necessary at all
18/08/2022 11:02:46,Male,20 years - 35 years,Single,Secondary school,Student,MTN,"Email, WhatsApp, Twitter, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",Twitter,3,4,3,very essential,essential,very essential,essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 11:04:37,Male,20 years - 35 years,Single,Vocational college,"Unemployed, looking for work",MTN,"Email, WhatsApp, Twitter, Telegram","Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents late in the night.",Email,3,4,2,very essential,essential,I am not sure,not essential,essential,not essential,essential,essential,not essential,not essential,I am not sure,essential,How easy it is for me to have my issue sorted.,Very necessary
18/08/2022 11:10:34,Female,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents over the weekends.",Email,3,2,2,I am not sure,essential,very essential,I am not sure,very essential,very essential,essential,very essential,very essential,essential,not essential,essential,How easy it is for me to have my issue sorted.,Very necessary
18/08/2022 11:18:32,Male,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",Email,3,3,1,essential,essential,very essential,not essential,very essential,very essential,very essential,very essential,essential,essential,very essential,essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 11:19:43,Male,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Twitter,3,3,3,not essential,not essential,very essential,essential,very essential,very essential,essential,very essential,very essential,not essential,essential,very essential,Speed at which my issue is sorted.,I am not sure
